date,vaccinazioni_totali,terza_dose,nuovi_vaccinati
2021-11-19,2422908000.0,65730000.0,7170714.0
2021-11-20,2430743000.0,,6944286.0
2021-11-21,2437252000.0,,6812000.0
2021-11-22,2442786000.0,,6677286.0
2021-11-23,2449427000.0,,6647143.0
2021-11-24,2456617000.0,,6690429.0
2021-11-25,2464330000.0,,6878714.0
2021-11-26,2472847000.0,,7134143.0
2021-11-27,2482895000.0,,7450286.0
2021-11-28,2492041000.0,,7827000.0
2021-11-29,2499813000.0,,8146714.0
2021-11-30,2507975000.0,,8364000.0
2021-12-01,2516380000.0,,8537571.0
2021-12-02,2524363000.0,,8576143.0
2021-12-03,2532799000.0,96312000.0,8564571.0
2021-12-04,2543424000.0,,8647000.0
2021-12-05,2553028000.0,,8712429.0
2021-12-06,2560117000.0,,8614857.0
2021-12-07,2567552000.0,,8511000.0
2021-12-08,2574931000.0,,8364429.0
2021-12-09,2582740000.0,,8339571.0
2021-12-10,2591879000.0,120580000.0,8440000.0
2021-12-11,2602703000.0,,8468429.0
2021-12-12,2612218000.0,,8455714.0
2021-12-13,2621190000.0,,8724714.0
